iteration,reward_mean,total_episodes,ep_len
2,304.0,1,2776.0
4,204.0,2,2364.5
6,204.66666666666666,3,2006.3333333333333
8,158.75,4,2143.75
11,197.6,5,2308.0
13,183.5,6,2291.8333333333335
15,178.28571428571428,7,2175.8571428571427
16,187.625,8,2072.75
19,223.33333333333334,9,2113.8888888888887
23,226.3,10,2353.6
25,206.27272727272728,11,2304.090909090909
28,206.5,12,2365.6666666666665
29,190.84615384615384,13,2297.4615384615386
32,205.21428571428572,14,2339.1428571428573
34,215.26666666666668,15,2330.9333333333334
40,256.0625,16,2530.4375
42,231.61111111111111,18,2386.6666666666665
44,237.52631578947367,19,2343.315789473684
47,249.9,20,2368.15
49,265.8095238095238,21,2353.3333333333335
52,274.72727272727275,22,2397.9545454545455
53,270.9130434782609,23,2346.521739130435
56,288.25,24,2355.4166666666665
59,299.96,25,2365.56
61,300.15384615384613,26,2363.3076923076924
64,305.55555555555554,27,2385.1111111111113
65,311.32142857142856,28,2356.3214285714284
67,312.7931034482759,29,2336.9655172413795
69,318.76666666666665,30,2326.633333333333
72,338.51612903225805,31,2338.1935483870966
75,343.125,32,2348.0
76,334.8181818181818,33,2313.848484848485
77,320.9142857142857,35,2222.2285714285713
79,314.47222222222223,36,2199.472222222222
80,310.3783783783784,37,2177.6216216216217
82,310.3157894736842,38,2171.0526315789475
84,312.4871794871795,39,2158.74358974359
85,307.15,40,2147.275
87,304.4634146341463,41,2131.829268292683
89,300.3333333333333,42,2131.6428571428573
92,298.2093023255814,43,2140.906976744186
93,288.45454545454544,44,2115.0
95,286.8888888888889,45,2119.177777777778
97,282.3478260869565,46,2125.282608695652
99,283.4468085106383,47,2112.1063829787236
101,280.9583333333333,48,2117.8541666666665
104,285.6938775510204,49,2123.4489795918366
108,297.62,50,2175.6
112,296.2549019607843,51,2202.9607843137255
114,293.4230769230769,52,2202.6153846153848
116,291.79245283018867,53,2205.264150943396
119,287.8333333333333,54,2203.777777777778
121,284.23636363636365,55,2212.6363636363635
122,278.48214285714283,56,2190.3571428571427
127,288.12280701754383,57,2233.754385964912
129,285.5,58,2235.0172413793102
131,286.89830508474574,59,2237.1525423728813
134,285.46666666666664,60,2234.633333333333
136,284.6885245901639,61,2237.9180327868853
139,285.93548387096774,62,2249.435483870968
141,285.8253968253968,63,2245.222222222222
143,284.703125,64,2248.609375
148,292.73846153846154,65,2290.9538461538464
150,291.06060606060606,66,2283.1060606060605
154,298.23880597014926,67,2298.8358208955224
159,307.54411764705884,68,2341.955882352941
164,316.8985507246377,69,2380.1014492753625
166,316.6857142857143,70,2373.6
174,326.6619718309859,71,2451.957746478873
177,330.5833333333333,72,2459.25
179,330.67123287671234,73,2464.7123287671234
181,331.6081081081081,74,2451.810810810811
183,330.5733333333333,75,2450.04
188,335.67105263157896,76,2475.4736842105262
192,343.4025974025974,77,2504.4805194805194
196,345.6025641025641,78,2513.576923076923
199,352.6835443037975,79,2522.8101265822784
202,359.0625,80,2533.8125
204,356.962962962963,81,2526.4074074074074
208,355.7926829268293,82,2541.170731707317
213,357.7590361445783,83,2568.156626506024
216,356.57142857142856,84,2573.404761904762
217,352.9529411764706,85,2563.258823529412
220,351.83720930232556,86,2558.4186046511627
221,353.44827586206895,87,2546.390804597701
225,358.35227272727275,88,2559.25
226,356.6629213483146,89,2547.7977528089887
228,349.8777777777778,90,2539.722222222222
230,349.61538461538464,91,2534.5934065934066
234,351.7717391304348,92,2553.771739130435
236,350.752688172043,93,2544.8172043010754
239,357.7340425531915,94,2546.7978723404253
244,369.2421052631579,95,2570.5894736842106
245,366.5416666666667,96,2560.3125
249,372.1546391752577,97,2572.340206185567
252,377.46938775510205,98,2580.5510204081634
255,381.37373737373736,99,2578.4747474747473
263,387.42,100,2631.84
266,388.58,101,2640.48
272,397.08,102,2679.37
276,402.11,103,2701.68
278,409.69,104,2701.96
281,410.25,105,2701.95
282,413.16,106,2692.4
285,416.18,107,2703.83
286,414.06,108,2701.63
288,410.18,109,2695.55
294,418.03,110,2707.34
297,426.32,111,2720.54
299,425.9,112,2706.49
