iteration,reward_mean,total_episodes,ep_len
1,176.0,1,1949.0
4,184.5,2,2281.0
6,164.0,3,2244.6666666666665
7,103.25,4,1927.5
8,64.6,5,1763.6
10,26.285714285714285,7,1544.2857142857142
11,19.5,8,1441.75
12,-6.9,10,1297.5
13,-13.181818181818182,11,1265.6363636363637
15,-10.083333333333334,12,1270.6666666666667
16,7.076923076923077,13,1290.3846153846155
18,14.571428571428571,14,1321.642857142857
20,16.066666666666666,15,1385.7333333333333
21,-2.0,16,1361.6875
22,-18.529411764705884,17,1352.2941176470588
24,-36.05263157894737,19,1290.7368421052631
25,-46.23809523809524,21,1236.4761904761904
26,-57.18181818181818,22,1212.590909090909
28,-63.34782608695652,23,1218.0869565217392
31,-75.32,25,1276.28
33,-80.81481481481481,27,1245.7777777777778
34,-86.0,29,1204.5862068965516
37,-81.73333333333333,30,1242.3
38,-74.0,31,1253.1612903225807
40,-73.9375,32,1266.625
