Episode,Num Stages,Rounds Won,Total Rounds,Episode Win,Total Reward
1,1,0,2,0,-1.09251101321586
2,1,0,2,0,-2.5110132158590286
3,1,0,2,0,-2.0528634361233453
4,2,3,6,0,-1.6475770925110116
5,3,4,6,0,-1.6740088105726858
6,2,2,5,0,-1.726872246696034
7,1,1,3,0,-1.4889867841409692
8,1,0,2,0,-1.9118942731277524
9,1,1,3,0,-0.8458149779735692
10,2,2,5,0,-1.3656387665198229
11,1,0,2,0,-3.004405286343611
12,1,0,2,0,-2.7224669603524214
13,2,2,5,0,-1.5418502202643183
14,1,0,2,0,-2.0704845814977957
15,1,1,3,0,-2.220264317180614
16,1,1,3,0,-2.872246696035242
17,1,0,2,0,-1.1629955947136548
18,1,0,2,0,-1.3392070484581482
19,1,0,2,0,-1.5947136563876656
20,2,2,4,0,1.0220264317180612
21,1,1,3,0,-0.9074889867841405
22,1,1,3,0,-0.9427312775330402
23,1,1,3,0,-0.49339207048458383
24,1,0,2,0,-2.5991189427312698
25,1,1,3,0,-0.8370044052863438
26,1,0,2,0,-2.810572687224669
27,2,2,5,0,-4.792951541850215
28,1,1,3,0,-2.5110132158590277
29,1,0,2,0,-2.5550660792951505
30,1,0,2,0,-2.237885462555064
