Episode,Num Stages,Rounds Won,Total Rounds,Episode Win,Total Reward
1,1,0,2,0,-24
2,1,0,2,0,-36
3,1,0,2,0,-30
4,1,0,2,0,-45
5,1,0,2,0,-25
6,1,0,2,0,-52
7,1,0,2,0,-12
8,1,0,2,0,-13
9,1,0,2,0,-68
10,1,0,2,0,-30
11,1,0,2,0,-42
12,1,0,2,0,0
13,1,0,2,0,-48
14,1,0,2,0,-88
15,1,0,2,0,-9
16,1,0,2,0,-37
17,1,0,2,0,-27
18,1,0,2,0,-33
19,1,0,2,0,36
20,1,0,2,0,-15
21,1,0,2,0,-10
22,1,0,2,0,-8
23,1,0,2,0,-17
24,1,0,2,0,-70
25,1,0,2,0,-26
26,1,0,2,0,-19
27,1,0,3,0,-49
28,1,0,2,0,-40
29,1,0,2,0,-26
30,1,0,2,0,-47
